T,U,Delta,kind,hilbert_mode,run,mu,mu_minus_U_over_2,ne_actual,dne,A_arith_0,A_typ_0,sigma,kappa,lorenz,L11,L12,L22,iterations,converged,diff,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,status,error
0.02,0.5,0.5,typ,eta,target_ne,3.275882433050972,3.025882433050972,0.5020164174360946,0.002016417436094597,4.116683567081913e-05,4.096280812117271e-05,2.20707022715539e-08,3.140923221697688e-09,7.115594200520538,2.20707022715539e-08,-1.280254528530598e-10,6.35611012733513e-11,70,True,0.001966309813756136,2.721780506061262,-0.007639703774504178,54,0,ok,
0.02,0.5,0.5,typ,eta,mu_U_over_2_diagnostic,0.25,0,0.3970314341000049,-0.1029685658999951,0.3982712144999508,0.3981955728106651,68.37955907343535,5.192740852688468,3.796997906283507,68.37955907343535,0.000545483005663927,0.103854821405241,250,False,0.03847908774803831,2.694560841768028,0.3303397937425049,196,62,ok,
0.02,1,0.5,typ,eta,target_ne,3.772103152419804,3.272103152419804,0.5217237968493919,0.02172379684939185,3.655118046292249e-05,3.63807501347915e-05,1.776752123120675e-08,1.56046578856695e-09,4.391343531438025,1.776752123120675e-08,-6.726740729150186e-11,3.146398855460679e-11,250,False,0.003470867050873282,2.687717538961012,-0.007260993224077125,57,0,ok,
0.02,1,0.5,typ,eta,mu_U_over_2_diagnostic,0.5,0,0.3721262241158476,-0.1278737758841524,0.3240049646323079,0.32393474279905,77.02604607954582,5.306083596679098,3.44434374263443,77.02604607954582,0.0005380952091667002,0.106121675692654,250,False,0.03997331400554564,2.657739445126294,0.1342890717630845,198,62,ok,
0.02,1.5,0.5,typ,eta,target_ne,3.566492460911098,2.816492460911098,0.5020471683675617,0.002047168367561691,6.108139838818665e-05,6.057092707522847e-05,5.544659654118882e-08,1.190815420850262e-07,107.3839960551644,5.544659654118882e-08,-6.672647035975014e-09,3.184641688969231e-09,246,True,0.001958842745760698,2.629586437808551,-0.00968903537783697,55,0,ok,
0.02,1.5,0.5,typ,eta,mu_U_over_2_diagnostic,0.75,0,0.3224321726551123,-0.1775678273448877,0.1252284090728512,0.1247942517612956,0.1166927497931975,0.01004890838701405,4.305712396366825,0.1166927497931975,-3.336826901779739e-07,0.0002009781686944461,250,False,0.01589481989755414,2.595778784385573,-0.3672271920826964,54,0,ok,
0.02,2,0.5,typ,eta,target_ne,3.801288702715139,2.801288702715139,0.5100668430824405,0.01006684308244055,7.663165262238053e-05,7.575820725002423e-05,6.117297145786491e-08,2.341869745774086e-08,19.14137641153441,6.117297145786491e-08,-1.067245659690683e-09,4.869935007473556e-10,250,False,0.004079164603696421,2.546136275652868,-0.01134979904592307,57,0,ok,
0.02,2,0.5,typ,eta,mu_U_over_2_diagnostic,1,0,0.2582369172275382,-0.2417630827724618,0.0009672224694618276,0.0009656395526299059,6.834533249520717e-06,1.21285675285057e-06,8.873003529067795,6.834533249520717e-06,-9.004378678325544e-10,2.425725368813429e-08,250,False,0.0343071983081491,2.511859261205268,-0.4900164285832778,56,0,ok,
0.02,0,1,typ,eta,target_ne,2.993819478699286,2.993819478699286,0.4996567599094777,-0.0003432400905222788,4.212907058303169e-05,4.130618823361806e-05,2.239801749164679e-08,3.239924964393755e-09,7.232615488406654,2.239801749164679e-08,-1.317806887952455e-10,6.557384246036017e-11,92,True,0.001983731195797869,2.721925080122962,-0.007697821744867994,53,0,ok,
0.02,0,1,typ,eta,mu_U_over_2_diagnostic,0,0,0.397100918097643,-0.102899081902357,0.3996285722335721,0.3963369678899488,72.71998051839434,5.485563837932002,3.771703319244181,72.71998051839434,9.147127499886665e-13,0.10971127675864,250,False,0.044482775351243,2.693674257334483,0.3254083510563512,196,62,ok,
0.02,0.5,1,typ,eta,target_ne,3.244819887911881,2.994819887911881,0.5013808036837479,0.001380803683747933,4.317273950021943e-05,4.229160612670315e-05,2.321583506996812e-08,3.574975830449137e-09,7.699434070915044,2.321583506996812e-08,-1.448629952668637e-10,7.240343789091991e-11,115,True,0.001996762406345064,2.710905881926296,-0.007806714283627086,54,0,ok,
0.02,0.5,1,typ,eta,mu_U_over_2_diagnostic,0.25,0,0.3912868276975251,-0.1087131723024749,0.3836868535333264,0.3823032317255358,65.50359152292704,4.797833159101899,3.66226724943975,65.50359152292704,0.0003946786417383663,0.0959566655600943,250,False,0.03064084827039253,2.682279287835275,0.2877194516653382,196,62,ok,
0.02,1,1,typ,eta,target_ne,3.422213940481055,2.922213940481055,0.5012401476986199,0.001240147698619909,4.959744118723473e-05,4.837422225638567e-05,2.871066357625339e-08,6.884965461316788e-09,11.99025832863603,2.871066357625339e-08,-2.703222753625386e-10,1.402445005752957e-10,139,True,0.001973190864349571,2.677422584502543,-0.008491977845533969,54,0,ok,
0.02,1,1,typ,eta,mu_U_over_2_diagnostic,0.5,0,0.3737154102006152,-0.1262845897993848,0.3330143984533301,0.3327936952392392,79.18706170629268,5.290453146238105,3.340478250007914,79.18706170629268,-7.032506102222502e-05,0.1058090629872169,250,False,0.0319739163097296,2.64767170053845,0.1457829383153927,198,62,ok,
0.02,1.5,1,typ,eta,target_ne,3.516621452828177,2.766621452828177,0.4998293881613317,-0.0001706118386683442,6.723642399088887e-05,6.482611152479544e-05,5.204499352124712e-08,5.792352026138714e-08,55.64754296466588,5.204499352124712e-08,-2.764327867991011e-09,1.305295451111015e-09,153,True,0.001982915563166011,2.621029350946567,-0.01021794541870477,55,0,ok,
0.02,1.5,1,typ,eta,mu_U_over_2_diagnostic,0.75,0,0.3412889881853695,-0.1587110118146305,0.2202216710585513,0.2155228305752201,0.5016497379359844,0.03452350465778987,3.440996979270366,0.5016497379359844,-2.563414077012827e-08,0.0006904700931571073,250,False,0.02265212162088552,2.589032618666133,-0.2134907299375958,52,0,ok,
0.02,2,1,typ,eta,target_ne,3.700124792860188,2.700124792860188,0.5023286817266798,0.002328681726679771,9.314880425884673e-05,8.819611866267876e-05,9.104040010483366e-08,1.421881593308106e-07,78.09069334442725,9.104040010483366e-08,-7.183070122437462e-09,3.410506042803575e-09,245,True,0.001972545376211715,2.539916053419025,-0.01338983630095308,56,0,ok,
0.02,2,1,typ,eta,mu_U_over_2_diagnostic,1,0,0.2791518853763817,-0.2208481146236183,0.001876650813039852,0.00182209132490103,2.592610543485073e-05,7.429310192878188e-06,14.32785616711152,2.592610543485073e-05,-5.282352040235995e-08,1.486938299070956e-07,250,False,0.02359592610986964,2.506557520634458,-0.7412302007685645,56,0,ok,
0.02,0,1.5,typ,eta,target_ne,2.97715223124201,2.97715223124201,0.5001785629833988,0.0001785629833988001,4.438525892977605e-05,4.239190936900367e-05,2.324819526983268e-08,3.128536087857452e-09,6.728556886987917,2.324819526983268e-08,-1.290707276958076e-10,6.328730438021152e-11,40,True,0.001992584911619294,2.702946965333432,-0.00787526595792672,53,0,ok,
0.02,0,1.5,typ,eta,mu_U_over_2_diagnostic,0,0,0.3866462479028493,-0.1133537520971507,0.3723371675597236,0.3584728605078558,63.59584734271827,4.244024891477243,3.336715421532302,63.59584734271827,4.709566070459914e-13,0.08488049782954485,250,False,0.04165710989039096,2.671931874165629,0.2213162183645822,196,62,ok,
0.02,0.5,1.5,typ,eta,target_ne,0.25,0,0.3827732632431162,-0.1172267367568838,0.3610919188321041,0.353766095235482,65.13083807938352,4.462321294132713,3.425659354094212,65.13083807938352,-0.0003759229360046357,0.08924642805241068,250,False,0.01766498172180483,2.66177720942961,0.207804489948011,196,62,ok,
0.02,0.5,1.5,typ,eta,mu_U_over_2_diagnostic,0.25,0,0.3827732632431162,-0.1172267367568838,0.3610919188321041,0.353766095235482,65.13083807938352,4.462321294132713,3.425659354094212,65.13083807938352,-0.0003759229360046357,0.08924642805241068,250,False,0.01766498172180483,2.66177720942961,0.207804489948011,196,62,ok,
